lcstr,lcseq,gst,jaro,jaro_w,monge,levenshtein,jaccard_n_1,dice_n_1,overlap_n_1,cosine_n_1,jaccard_n_2,dice_n_2,overlap_n_2,cosine_n_2,jaccard_n_3,dice_n_3,overlap_n_3,cosine_n_3,jaccard_n_4,dice_n_4,overlap_n_4,cosine_n_4,jaccard_n_5,dice_n_5,overlap_n_5,cosine_n_5,jaccard_n_1_spacy,dice_n_1_spacy,overlap_n_1_spacy,cosine_n_1_spacy,jaccard_n_2_spacy,dice_n_2_spacy,overlap_n_2_spacy,cosine_n_2_spacy,jaccard_n_3_spacy,dice_n_3_spacy,overlap_n_3_spacy,cosine_n_3_spacy,jaccard_n_4_spacy,dice_n_4_spacy,overlap_n_4_spacy,cosine_n_4_spacy,jaccard_n_5_spacy,dice_n_5_spacy,overlap_n_5_spacy,cosine_n_5_spacy,wup_idf,path_idf,lch_idf,lin_idf,wup,path,lch,lin,jaccard_n_1_stop,dice_n_1_stop,overlap_n_1_stop,cosine_n_1_stop,jaccard_n_2_stop,dice_n_2_stop,overlap_n_2_stop,cosine_n_2_stop,jaccard_n_3_stop,dice_n_3_stop,overlap_n_3_stop,cosine_n_3_stop,jaccard_n_4_stop,dice_n_4_stop,overlap_n_4_stop,cosine_n_4_stop,jaccard_n_5_stop,dice_n_5_stop,overlap_n_5_stop,cosine_n_5_stop,jaccard_n_1_stem,dice_n_1_stem,overlap_n_1_stem,cosine_n_1_stem,jaccard_n_2_stem,dice_n_2_stem,overlap_n_2_stem,cosine_n_2_stem,jaccard_n_3_stem,dice_n_3_stem,overlap_n_3_stem,cosine_n_3_stem,jaccard_n_4_stem,dice_n_4_stem,overlap_n_4_stem,cosine_n_4_stem,jaccard_n_5_stem,dice_n_5_stem,overlap_n_5_stem,cosine_n_5_stem,file,gs
28,127,0.6541554959785523,0.7791873915234969,0.8675124349140981,0.005235457063711911,96,0.5263157894736843,0.6896551724137931,0.7142857142857143,0.6900655593423543,0.1923076923076923,0.3225806451612903,0.3333333333333333,0.3227486121839514,0.09090909090909094,0.16666666666666666,0.1724137931034483,0.1667593364912675,0.0357142857142857,0.06896551724137931,0.07142857142857142,0.06900655593423542,0.0,0.0,0.0,0.0,0.6,0.75,0.8,0.7514691493021795,0.19999999999999996,0.3333333333333333,0.35714285714285715,0.33407655239053047,0.07692307692307687,0.14285714285714285,0.15384615384615385,0.1432229748078866,0.040000000000000036,0.07692307692307693,0.08333333333333333,0.07715167498104596,0.0,0.0,0.0,0.0,27.94984233367245,27.222866547903777,66.31120061552613,18.345503901336645,12.233333333333334,11.75,33.58359187835719,8.855635923324785,0.5333333333333333,0.6956521739130435,0.7272727272727273,0.6963106238227914,0.13043478260869568,0.23076923076923078,0.25,0.23145502494313785,0.04166666666666663,0.08,0.09090909090909091,0.08058229640253803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.75,0.8,0.7514691493021795,0.19999999999999996,0.3333333333333333,0.35714285714285715,0.33407655239053047,0.07692307692307687,0.14285714285714285,0.15384615384615385,0.1432229748078866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMTeuroparl,4.2
21,77,0.6111111111111112,0.7646474347724815,0.8587884608634889,0.009258450519696043,67,0.5,0.6666666666666666,0.6956521739130435,0.6672461249826392,0.16279069767441856,0.28,0.3181818181818182,0.2820380374088831,0.09090909090909094,0.16666666666666666,0.19047619047619047,0.1679842102263232,0.045454545454545414,0.08695652173913043,0.1,0.08770580193070293,0.023255813953488413,0.045454545454545456,0.05263157894736842,0.04588314677411235,0.5454545454545454,0.7058823529411765,0.8571428571428571,0.7171371656006361,0.15384615384615385,0.26666666666666666,0.3333333333333333,0.2721655269759087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.313549482133737,17.70501921068702,70.86291772104028,18.27004421351983,7.10138888888889,6.421428571428572,21.5401554828103,5.480987325084785,0.4736842105263158,0.6428571428571429,0.6923076923076923,0.6445033866354896,0.0714285714285714,0.13333333333333333,0.14285714285714285,0.1336306209562122,0.03703703703703709,0.07142857142857142,0.07692307692307693,0.0716114874039433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.7058823529411765,0.8571428571428571,0.7171371656006361,0.0714285714285714,0.13333333333333333,0.16666666666666666,0.13608276348795434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMTeuroparl,4.25
47,110,0.8226415094339623,0.7890787534176272,0.8734472520505764,0.006935458827182858,107,0.5925925925925926,0.7441860465116279,0.8,0.746003846592251,0.2702702702702703,0.425531914893617,0.5,0.43033148291193524,0.15384615384615385,0.26666666666666666,0.3157894736842105,0.2699527623995085,0.10256410256410253,0.18604651162790697,0.2222222222222222,0.18856180831641267,0.07894736842105265,0.14634146341463414,0.17647058823529413,0.14852213144650114,0.3846153846153846,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.1428571428571429,0.25,0.25,0.25,0.07692307692307687,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.713647860064585,11.09373953286462,30.028540909120114,5.435958507554096,6.019607843137255,5.383333333333334,14.498404573661848,3.373762191291992,0.8333333333333334,0.9090909090909091,1.0,0.9128709291752769,0.5333333333333333,0.6956521739130435,0.8,0.7016464154456235,0.4,0.5714285714285714,0.6666666666666666,0.5773502691896257,0.2666666666666667,0.42105263157894735,0.5,0.42640143271122083,0.2142857142857143,0.35294117647058826,0.42857142857142855,0.35856858280031806,0.3846153846153846,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.06666666666666665,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMTeuroparl,4.8
29,95,0.8189655172413793,0.8571502537019778,0.9142901522211867,0.008620689655172414,78,0.7,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.2857142857142857,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.09375,0.17142857142857143,0.17647058823529413,0.17149858514250885,0.06451612903225812,0.12121212121212122,0.125,0.12126781251816648,0.033333333333333326,0.06451612903225806,0.06666666666666667,0.06454972243679027,0.6363636363636364,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.23076923076923073,0.375,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.56967870705302,26.59002056009342,78.60224042105143,22.140939483904855,7.816666666666666,6.7666666666666675,21.087206195757027,5.973982359283136,0.75,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5,0.6666666666666666,0.7142857142857143,0.6681531047810609,0.2727272727272727,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.08333333333333337,0.15384615384615385,0.16666666666666666,0.1543033499620919,0.0,0.0,0.0,0.0,0.6363636363636364,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.1428571428571429,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMTeuroparl,4.8
36,158,0.6277665995975855,0.7760315339813385,0.8208252271850708,0.0035971223021582736,130,0.4130434782608695,0.5846153846153846,0.6551724137931034,0.5880352375606643,0.15492957746478875,0.2682926829268293,0.3055555555555556,0.27031025295064476,0.06666666666666665,0.125,0.14285714285714285,0.12598815766974242,0.040000000000000036,0.07692307692307693,0.08823529411764706,0.07756315349925287,0.013333333333333308,0.02631578947368421,0.030303030303030304,0.026546593660094948,0.3076923076923077,0.47058823529411764,0.5333333333333333,0.47387910220727386,0.18518518518518523,0.3125,0.35714285714285715,0.314970394174356,0.11111111111111116,0.2,0.23076923076923078,0.20180183819889375,0.07692307692307687,0.14285714285714285,0.16666666666666666,0.14433756729740646,0.040000000000000036,0.07692307692307693,0.09090909090909091,0.0778498944161523,42.03294069953947,33.5594754425383,92.24082947162022,27.060983706762762,14.842916887034534,11.058333333333334,38.95746668722231,11.07945190966802,0.5,0.6666666666666666,0.75,0.6708203932499369,0.20588235294117652,0.34146341463414637,0.3888888888888889,0.34403123102809335,0.08108108108108103,0.15,0.16666666666666666,0.15075567228888181,0.027027027027026973,0.05263157894736842,0.058823529411764705,0.05292561240249631,0.0,0.0,0.0,0.0,0.3076923076923077,0.47058823529411764,0.5333333333333333,0.47387910220727386,0.032258064516129004,0.0625,0.07142857142857142,0.0629940788348712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMTeuroparl,4.0
27,92,0.8034934497816594,0.8233733428271116,0.8940240056962669,0.008546373365041618,78,0.65,0.7878787878787878,0.8125,0.7882407813680822,0.2068965517241379,0.34285714285714286,0.35294117647058826,0.3429971702850177,0.030303030303030276,0.058823529411764705,0.0625,0.05892556509887897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.7058823529411765,0.75,0.7071067811865476,0.15384615384615385,0.26666666666666666,0.2857142857142857,0.2672612419124244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9720194373368,22.945764705158552,80.34001833215824,20.42957343007975,6.7666666666666675,5.825,20.943365159531133,5.160766021584406,0.75,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5,0.6666666666666666,0.7142857142857143,0.6681531047810609,0.2727272727272727,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.08333333333333337,0.15384615384615385,0.16666666666666666,0.1543033499620919,0.0,0.0,0.0,0.0,0.5454545454545454,0.7058823529411765,0.75,0.7071067811865476,0.15384615384615385,0.26666666666666666,0.2857142857142857,0.2672612419124244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMTeuroparl,4.8
22,141,0.696969696969697,0.7519650937297996,0.7519650937297996,0.004483937675313773,128,0.4390243902439024,0.6101694915254238,0.6666666666666666,0.6123724356957945,0.2068965517241379,0.34285714285714286,0.3870967741935484,0.3451183851258305,0.09677419354838712,0.17647058823529413,0.2,0.1777046633277277,0.01538461538461533,0.030303030303030304,0.034482758620689655,0.03052812554363318,0.0,0.0,0.0,0.0,0.3529411764705882,0.5217391304347826,0.6,0.5262348115842176,0.15000000000000002,0.2608695652173913,0.3,0.2631174057921088,0.050000000000000044,0.09523809523809523,0.1111111111111111,0.09622504486493763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.939011144635405,20.14118131442607,40.94228948158303,11.374888680594271,9.044444444444444,8.42142857142857,21.330317606344376,6.009277142223256,0.4285714285714286,0.6,0.6428571428571429,0.6013377943029549,0.18181818181818177,0.3076923076923077,0.35294117647058826,0.3102526139970115,0.02777777777777779,0.05405405405405406,0.0625,0.0545544725589981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3529411764705882,0.5217391304347826,0.6,0.5262348115842176,0.10526315789473684,0.19047619047619047,0.2222222222222222,0.19245008972987526,0.05555555555555558,0.10526315789473684,0.125,0.10660035817780521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMTeuroparl,3.75
14,56,0.5978260869565217,0.7250230038798295,0.7250230038798295,0.008810964756140975,53,0.3666666666666667,0.5365853658536586,0.55,0.5367450401216932,0.17647058823529416,0.3,0.3157894736842105,0.30037570459305535,0.08571428571428574,0.15789473684210525,0.16666666666666666,0.15811388300841897,0.02857142857142858,0.05555555555555555,0.058823529411764705,0.055641488407465724,0.0,0.0,0.0,0.0,0.33333333333333337,0.5,0.5,0.5,0.11111111111111116,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.31343152590466,15.350839098030635,46.250802370002404,13.494002400271292,4.73015873015873,4.25,12.346179516547654,3.59031886387862,0.3157894736842105,0.48,0.5,0.48038446141526137,0.1428571428571429,0.25,0.2727272727272727,0.2508726030021272,0.04761904761904767,0.09090909090909091,0.1,0.09128709291752768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.5,0.5,0.5,0.11111111111111116,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMTeuroparl,4.8
50,136,0.6929133858267716,0.7481786734476299,0.823725071413341,0.004564629529475392,131,0.5277777777777778,0.6909090909090909,0.7307692307692307,0.6919391886927683,0.2592592592592593,0.4117647058823529,0.45161290322580644,0.4133770167502448,0.2142857142857143,0.35294117647058826,0.3870967741935484,0.35432315721449553,0.1785714285714286,0.30303030303030304,0.3333333333333333,0.3042903097250923,0.1428571428571429,0.25,0.27586206896551724,0.2511059282297378,0.4444444444444444,0.6153846153846154,0.6666666666666666,0.6172133998483676,0.2857142857142857,0.4444444444444444,0.5,0.4472135954999579,0.18181818181818177,0.3076923076923077,0.36363636363636365,0.3113995776646092,0.09090909090909094,0.16666666666666666,0.2,0.1690308509457033,0.0,0.0,0.0,0.0,34.966508033756824,32.36846612096022,118.02674434793576,29.08758480489576,10.327922077922079,9.541666666666666,34.97780239456438,8.907420013341984,0.6428571428571428,0.782608695652174,0.8181818181818182,0.7833494518006403,0.29166666666666663,0.45161290322580644,0.5,0.4537426064865151,0.18518518518518523,0.3125,0.3333333333333333,0.31311214554257477,0.0714285714285714,0.13333333333333333,0.14285714285714285,0.1336306209562122,0.0,0.0,0.0,0.0,0.625,0.7692307692307693,0.8333333333333334,0.7715167498104595,0.19999999999999996,0.3333333333333333,0.36363636363636365,0.3344968040028363,0.04761904761904767,0.09090909090909091,0.1,0.09128709291752768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMTeuroparl,4.0
57,213,0.671118530884808,0.8106586007664291,0.8106586007664291,0.0034128080679255088,170,0.6739130434782609,0.8051948051948052,0.8378378378378378,0.8058066296105564,0.3571428571428571,0.5263157894736842,0.5454545454545454,0.5266400752650643,0.21052631578947367,0.34782608695652173,0.35714285714285715,0.3479445003196105,0.13861386138613863,0.24347826086956523,0.25,0.24356115022372735,0.10784313725490191,0.19469026548672566,0.2,0.19475891374404053,0.7391304347826086,0.85,0.85,0.85,0.28125,0.43902439024390244,0.45,0.43915503282683993,0.18181818181818177,0.3076923076923077,0.3157894736842105,0.30779350562554625,0.12121212121212122,0.21621621621621623,0.2222222222222222,0.21629522817435007,0.06060606060606055,0.11428571428571428,0.11764705882352941,0.1143323900950059,25.227351363501754,21.448765894338713,69.48892603004512,18.86779199099435,18.02799145299145,16.93333333333333,60.49915025962111,16.814447219865933,0.6842105263157895,0.8125,0.9285714285714286,0.8189230248533256,0.28888888888888886,0.4482758620689655,0.5,0.4506939094329987,0.15384615384615385,0.26666666666666666,0.2962962962962963,0.2680100840691232,0.09259259259259256,0.1694915254237288,0.18518518518518517,0.17010345435994292,0.05555555555555558,0.10526315789473684,0.11538461538461539,0.10567049305145204,0.7391304347826086,0.85,0.85,0.85,0.40740740740740744,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.24137931034482762,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.1333333333333333,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.06666666666666665,0.125,0.125,0.125,SMTeuroparl,4.8
